127.0.0.1 - - [03/Aug/2018:23:18:52 +0530] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/ HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/images/logo%20mini.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/images/i1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/bootstrapfiles/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/bootstrapfiles/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/bootstrapfiles/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/images/i2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /ediagnostic/images/i3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:54 +0530] "GET /ediagnostic/jsp/login.jsp HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:18:54 +0530] "GET /ediagnostic/js/validation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:05 +0530] "POST /ediagnostic/Login1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:06 +0530] "GET /ediagnostic/jsp/owner_home.jsp HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:09 +0530] "GET /ediagnostic//jsp/regpatho.jsp HTTP/1.1" 200 7837
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:09 +0530] "GET /ediagnostic/css/s2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:13 +0530] "GET /ediagnostic//jsp/worker_registration.jsp HTTP/1.1" 200 7805
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:13 +0530] "GET /ediagnostic/images/Premier-Pathology-Slider-3c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:15 +0530] "GET /ediagnostic/jsp/doctor_registration.jsp HTTP/1.1" 200 7976
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:20 +0530] "GET /ediagnostic/jsp/compose.jsp HTTP/1.1" 200 4336
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:20 +0530] "GET /ediagnostic/images/cmp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:23 +0530] "GET /ediagnostic/jsp/inbox.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:33 +0530] "GET /ediagnostic/jsp/sentitems.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:39 +0530] "GET /ediagnostic/jsp/inbox.jsp HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:42 +0530] "GET /ediagnostic/jsp/sentitems.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [03/Aug/2018:23:19:49 +0530] "GET /ediagnostic/jsp/viewpathology.jsp HTTP/1.1" 200 2538
